TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
haematopoietic_and_lymphoid_tissue-breast-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-breast-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	0.0397648951656602	-3.22477078692355	48	1	0.0666666666666667	15	17775	5352	PLOD2
bone	bone	0.0432123067957229	-3.14162994477192	8539	11	0.733333333333333	15	17775	9668,217,4241,5352,3164,256979,1287,51313,26047,54843,2122	ZNF432,ALDH2,MFI2,PLOD2,NR4A1,SUN3,COL4A5,FAM198B,CNTNAP2,SYTL2,MECOM
ankle	ankle	0.0443134561625653	-3.11646689720602	403	2	0.133333333333333	15	17775	217,26047	ALDH2,CNTNAP2
skin-scalp-carcinoma-squamous_cell_carcinoma	skin-scalp-carcinoma-squamous_cell_carcinoma	0.0447368922142039	-3.10695678858264	1659	4	0.266666666666667	15	17775	9668,51313,54843,2122	ZNF432,FAM198B,SYTL2,MECOM
urinary_tract-bladder-carcinoma-transitional_cell_carcinoma	urinary_tract-bladder-carcinoma-transitional_cell_carcinoma	0.0465370392514345	-3.06750674041927	6320	9	0.6	15	17775	9668,217,3164,84969,1287,26047,25924,54843,2122	ZNF432,ALDH2,NR4A1,TOX2,COL4A5,CNTNAP2,MYRIP,SYTL2,MECOM
transitional_cell_carcinoma	transitional_cell_carcinoma	0.0466297747174976	-3.06551599945178	6322	9	0.6	15	17775	9668,217,3164,84969,1287,26047,25924,54843,2122	ZNF432,ALDH2,NR4A1,TOX2,COL4A5,CNTNAP2,MYRIP,SYTL2,MECOM
central_nervous_system-cerebrum-glioma-astrocytoma_Grade_IV	central_nervous_system-cerebrum-glioma-astrocytoma_Grade_IV	0.0502777234311912	-2.99019317410554	61	1	0.0666666666666667	15	17775	84969	TOX2
prostate	prostate	0.0513386010354016	-2.96931235292868	14584	15	1	15	17775	9668,217,4241,5352,647219,3164,84969,81831,256979,1287,51313,26047,25924,54843,2122	ZNF432,ALDH2,MFI2,PLOD2,ASCL5,NR4A1,TOX2,NETO2,SUN3,COL4A5,FAM198B,CNTNAP2,MYRIP,SYTL2,MECOM
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-follicular_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-follicular_lymphoma	0.0521064003862541	-2.95446748966334	1028	3	0.2	15	17775	26047,5352,25924	CNTNAP2,PLOD2,MYRIP
cerebrum	cerebrum	0.0550934779619351	-2.89872393712623	67	1	0.0666666666666667	15	17775	84969	TOX2
lymph_node	lymph_node	0.0558163156664548	-2.88568905687791	1781	4	0.266666666666667	15	17775	9668,26047,5352,25924	ZNF432,CNTNAP2,PLOD2,MYRIP
oesophagus-carcinoma	oesophagus-carcinoma	0.0576804018905151	-2.85283781844104	4462	7	0.466666666666667	15	17775	256979,26047,4241,25924,3164,84969,2122	SUN3,CNTNAP2,MFI2,MYRIP,NR4A1,TOX2,MECOM
granular_cell_tumour	granular_cell_tumour	0.0590891865792738	-2.82870733951261	72	1	0.0666666666666667	15	17775	26047	CNTNAP2
soft_tissue-fibrous_tissue_and_uncertain_origin-granular_cell_tumour	soft_tissue-fibrous_tissue_and_uncertain_origin-granular_cell_tumour	0.0590891865792738	-2.82870733951261	72	1	0.0666666666666667	15	17775	26047	CNTNAP2
oesophagus-lower_third-carcinoma-adenocarcinoma	oesophagus-lower_third-carcinoma-adenocarcinoma	0.0597316992862183	-2.81789242318306	6579	9	0.6	15	17775	9668,4241,3164,84969,256979,1287,26047,25924,54843	ZNF432,MFI2,NR4A1,TOX2,SUN3,COL4A5,CNTNAP2,MYRIP,SYTL2
haematopoietic_and_lymphoid_tissue-lymph_node-lymphoid_neoplasm-mantle_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymph_node-lymphoid_neoplasm-mantle_cell_lymphoma	0.0623913295967398	-2.77432896203123	488	2	0.133333333333333	15	17775	26047,5352	CNTNAP2,PLOD2
functioning	functioning	0.0654372892946418	-2.72666301030473	1876	4	0.266666666666667	15	17775	25924,3164,84969,54843	MYRIP,NR4A1,TOX2,SYTL2
adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-functioning	adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-functioning	0.0654372892946418	-2.72666301030473	1876	4	0.266666666666667	15	17775	25924,3164,84969,54843	MYRIP,NR4A1,TOX2,SYTL2
lung-carcinoma-small_cell_carcinoma	lung-carcinoma-small_cell_carcinoma	0.0682359778349883	-2.68478331899262	10319	12	0.8	15	17775	9668,217,4241,5352,3164,81831,1287,51313,26047,25924,54843,2122	ZNF432,ALDH2,MFI2,PLOD2,NR4A1,NETO2,COL4A5,FAM198B,CNTNAP2,MYRIP,SYTL2,MECOM
small_cell_carcinoma	small_cell_carcinoma	0.0685224139394276	-2.68059437644117	10324	12	0.8	15	17775	9668,217,4241,5352,3164,81831,1287,51313,26047,25924,54843,2122	ZNF432,ALDH2,MFI2,PLOD2,NR4A1,NETO2,COL4A5,FAM198B,CNTNAP2,MYRIP,SYTL2,MECOM
oesophagus-lower_third-carcinoma-squamous_cell_carcinoma	oesophagus-lower_third-carcinoma-squamous_cell_carcinoma	0.0692918727285508	-2.66942765630801	3665	6	0.4	15	17775	1287,9668,26047,54843,81831,2122	COL4A5,ZNF432,CNTNAP2,SYTL2,NETO2,MECOM
thyroid	thyroid	0.0697358605587484	-2.66304059483394	10345	12	0.8	15	17775	9668,217,4241,647219,3164,81831,256979,1287,26047,25924,54843,2122	ZNF432,ALDH2,MFI2,ASCL5,NR4A1,NETO2,SUN3,COL4A5,CNTNAP2,MYRIP,SYTL2,MECOM
central	central	0.070193434404391	-2.65650049932727	86	1	0.0666666666666667	15	17775	26047	CNTNAP2
chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	0.0702412408945432	-2.65581966331726	3677	6	0.4	15	17775	1287,26047,25924,3164,84969,54843	COL4A5,CNTNAP2,MYRIP,NR4A1,TOX2,SYTL2
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	0.0702412408945432	-2.65581966331726	3677	6	0.4	15	17775	1287,26047,25924,3164,84969,54843	COL4A5,CNTNAP2,MYRIP,NR4A1,TOX2,SYTL2
oesophagus-middle_third-carcinoma-squamous_cell_carcinoma	oesophagus-middle_third-carcinoma-squamous_cell_carcinoma	0.0705595323757864	-2.65129849463285	3681	6	0.4	15	17775	26047,51313,5352,25924,54843,2122	CNTNAP2,FAM198B,PLOD2,MYRIP,SYTL2,MECOM
middle_third	middle_third	0.0707190225586998	-2.64904068203362	3683	6	0.4	15	17775	26047,51313,5352,25924,54843,2122	CNTNAP2,FAM198B,PLOD2,MYRIP,SYTL2,MECOM
skin-extremity-malignant_melanoma	skin-extremity-malignant_melanoma	0.0754664158114793	-2.58406754537958	1967	4	0.266666666666667	15	17775	1287,26047,51313,2122	COL4A5,CNTNAP2,FAM198B,MECOM
extremity	extremity	0.0755810192425489	-2.5825500955398	1968	4	0.266666666666667	15	17775	1287,26047,51313,2122	COL4A5,CNTNAP2,FAM198B,MECOM
myelodysplastic_syndrome	myelodysplastic_syndrome	0.0774681825725367	-2.55788797437165	1210	3	0.2	15	17775	1287,26047,2122	COL4A5,CNTNAP2,MECOM
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-myelodysplastic_syndrome	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-myelodysplastic_syndrome	0.0774681825725367	-2.55788797437165	1210	3	0.2	15	17775	1287,26047,2122	COL4A5,CNTNAP2,MECOM
