TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.40.50.170	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	2618	GART
1.20.142.10	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	10038	PARP2
3.90.1140.10	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	51008	ASCC1
3.30.1490.100	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	51426	POLK
3.90.850.10	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	81889	FAHD1
1.20.58.120	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	573	BAG1
3.40.532.10	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	51377	UCHL5
3.20.20.10	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	4953	ODC1
3.10.490.10	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	79094	CHAC1
3.80.30.20	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	54901	CDKAL1
3.40.50.1580	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	7378	UPP1
1.10.340.30	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	4595	MUTYH
2.10.109.10	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	83943	IMMP2L
1.20.5.520	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	7114	TMSB4X
2.60.120.290	-	0.237722797500434	-1.43665000050465	52	5	0.00782472613458529	639	9988	114788,64866,8829,57211,23140	CSMD3,CDCP1,NRP1,ADGRG6,ZZEF1
1.10.30.10	-	0.237722797500434	-1.43665000050465	52	5	0.00782472613458529	639	9988	11169,115098,6659,1107,6934	WDHD1,CCDC124,SOX4,CHD3,TCF7L2
1.10.506.10	-	0.248733827999843	-1.39137191812283	15	2	0.00312989045383412	639	9988	8831,10788	SYNGAP1,IQGAP2
3.30.1490.20	-	0.248733827999843	-1.39137191812283	15	2	0.00312989045383412	639	9988	2618,5095	GART,PCCA
1.25.40.180	-	0.248733827999843	-1.39137191812283	15	2	0.00312989045383412	639	9988	26019,9811	UPF2,CTIF
2.60.200.10	-	0.273081625370683	-1.29798453445518	16	2	0.00312989045383412	639	9988	4088,4092	SMAD3,SMAD7
