TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
stomach-carcinoma-diffuse_adenocarcinoma	stomach-carcinoma-diffuse_adenocarcinoma	0.163784300647345	-1.80920495680036	4562	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
diffuse_adenocarcinoma	diffuse_adenocarcinoma	0.163784300647345	-1.80920495680036	4562	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
myelodysplastic_syndrome	myelodysplastic_syndrome	0.190642980295159	-1.65735281320873	1210	1	0.333333333333333	3	17775	2122	MECOM
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-myelodysplastic_syndrome	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-myelodysplastic_syndrome	0.190642980295159	-1.65735281320873	1210	1	0.333333333333333	3	17775	2122	MECOM
chondrosarcoma	chondrosarcoma	0.192254369366877	-1.64893594332863	1221	1	0.333333333333333	3	17775	5352	PLOD2
femur	femur	0.196784046675224	-1.62564836129197	1252	1	0.333333333333333	3	17775	5352	PLOD2
follicular_lymphoma	follicular_lymphoma	0.199260858129251	-1.6131404677941	1269	1	0.333333333333333	3	17775	5352	PLOD2
plasma_cell_myeloma	plasma_cell_myeloma	0.206949990267768	-1.57527810781437	1322	1	0.333333333333333	3	17775	2122	MECOM
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-plasma_cell_myeloma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-plasma_cell_myeloma	0.206949990267768	-1.57527810781437	1322	1	0.333333333333333	3	17775	2122	MECOM
skin-trunk-malignant_melanoma-nodular	skin-trunk-malignant_melanoma-nodular	0.20825078282798	-1.56901223886432	1331	1	0.333333333333333	3	17775	2122	MECOM
lung-carcinoma-undifferentiated_carcinoma	lung-carcinoma-undifferentiated_carcinoma	0.22289382090636	-1.50105976034576	1433	1	0.333333333333333	3	17775	2122	MECOM
undifferentiated_carcinoma	undifferentiated_carcinoma	0.224319616240736	-1.49468338590442	1443	1	0.333333333333333	3	17775	2122	MECOM
nodular	nodular	0.241012505398191	-1.42290645721865	1561	1	0.333333333333333	3	17775	2122	MECOM
kidney-other-neoplasm	kidney-other-neoplasm	0.248067966287159	-1.39405251275457	11169	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
skin-scalp-carcinoma-squamous_cell_carcinoma	skin-scalp-carcinoma-squamous_cell_carcinoma	0.254692654094132	-1.3676977388177	1659	1	0.333333333333333	3	17775	2122	MECOM
soft_tissue	soft_tissue	0.269809907823023	-1.31003761303982	6065	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
lymph_node	lymph_node	0.271492069360372	-1.30382235049382	1781	1	0.333333333333333	3	17775	5352	PLOD2
haematopoietic_neoplasm	haematopoietic_neoplasm	0.279423452773366	-1.27502689590619	11621	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
bone-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.287417590400877	-1.24681910191833	6295	2	0.666666666666667	3	17775	256979,2122	SUN3,MECOM
breast-carcinoma-ER-PR-positive_carcinoma	breast-carcinoma-ER-PR-positive_carcinoma	0.293004916071615	-1.22756589170441	1940	1	0.333333333333333	3	17775	2122	MECOM
ER-PR-positive_carcinoma	ER-PR-positive_carcinoma	0.293004916071615	-1.22756589170441	1940	1	0.333333333333333	3	17775	2122	MECOM
skin-extremity-malignant_melanoma	skin-extremity-malignant_melanoma	0.296615438159301	-1.21531880019694	1967	1	0.333333333333333	3	17775	2122	MECOM
extremity	extremity	0.296748924611135	-1.21486886938727	1968	1	0.333333333333333	3	17775	2122	MECOM
upper_aerodigestive_tract-larynx-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-larynx-carcinoma-squamous_cell_carcinoma	0.301941732589104	-1.19752121866896	2007	1	0.333333333333333	3	17775	256979	SUN3
larynx	larynx	0.302207339130229	-1.19664194376589	2009	1	0.333333333333333	3	17775	256979	SUN3
kidney-carcinoma-papillary_renal_cell_carcinoma	kidney-carcinoma-papillary_renal_cell_carcinoma	0.315160725108625	-1.1546725318438	6650	2	0.666666666666667	3	17775	256979,5352	SUN3,PLOD2
papillary_renal_cell_carcinoma	papillary_renal_cell_carcinoma	0.315160725108625	-1.1546725318438	6650	2	0.666666666666667	3	17775	256979,5352	SUN3,PLOD2
skin-face-carcinoma-squamous_cell_carcinoma	skin-face-carcinoma-squamous_cell_carcinoma	0.315401931083294	-1.15390748182358	2109	1	0.333333333333333	3	17775	2122	MECOM
scalp	scalp	0.325707253673325	-1.12175629592146	2188	1	0.333333333333333	3	17775	2122	MECOM
Burkitt_lymphoma	Burkitt_lymphoma	0.327781733166145	-1.11540733977076	2204	1	0.333333333333333	3	17775	5352	PLOD2
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	0.327781733166145	-1.11540733977076	2204	1	0.333333333333333	3	17775	5352	PLOD2
face	face	0.328817375479665	-1.11225277206357	2212	1	0.333333333333333	3	17775	2122	MECOM
